nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
685, 318, 1789, 
686, 2142, 137, 
687, 1224, 1454, 
688, 372, 863, 
689, 201, 511, 
690, 439, 1432, 
691, 1144, 1536, 
692, 2125, 224, 
693, 1018, 1916, 
694, 688, 2123, 
695, 198, 1846, 
696, 841, 708, 
697, 806, 160, 
698, 801, 809, 
699, 593, 1027, 
700, 112, 1376, 
701, 446, 1775, 
702, 164, 2129, 
703, 1358, 1667, 
704, 2069, 1171, 
705, 1561, 2047, 
706, 978, 1438, 
707, 611, 1368, 
708, 1854, 713, 
709, 563, 569, 
710, 1610, 1583, 
711, 1199, 793, 
712, 1906, 879, 
713, 1721, 233, 
714, 1901, 2143, 
715, 1736, 146, 
716, 224, 1865, 
717, 1775, 923, 
718, 391, 2100, 
719, 854, 917, 
720, 131, 1633, 
721, 1496, 211, 
722, 416, 2066, 
723, 1349, 1239, 
724, 831, 167, 
725, 1486, 640, 
726, 997, 1303, 
727, 53, 202, 
728, 512, 10, 
729, 941, 1118, 
730, 1780, 1957, 
731, 823, 128, 
732, 880, 378, 
733, 169, 156, 
734, 398, 247, 
735, 585, 244, 
736, 1892, 848, 
737, 588, 127, 
738, 1048, 750, 
739, 1120, 1816, 
740, 1859, 1566, 
741, 39, 1209, 
742, 1308, 1514, 
743, 375, 966, 
744, 2079, 1924, 
745, 1611, 1860, 
746, 987, 1455, 
747, 865, 605, 
748, 319, 1058, 
749, 1257, 1857, 
750, 335, 1743, 
751, 1064, 915, 
752, 2090, 1758, 
753, 610, 1269, 
754, 1700, 983, 
755, 1882, 384, 
756, 1699, 87, 
757, 982, 998, 
758, 1139, 370, 
759, 1578, 666, 
760, 828, 419, 
761, 1365, 1415, 
762, 1373, 1412, 
763, 206, 4, 
764, 707, 989, 
765, 356, 276, 
766, 1972, 1740, 
767, 449, 111, 
768, 924, 1791, 
769, 330, 1460, 
770, 1442, 1248, 
771, 730, 766, 
772, 1818, 813, 
773, 717, 2078, 
774, 782, 570, 
775, 738, 686, 
776, 1014, 85, 
777, 1302, 870, 
778, 1867, 625, 
779, 1960, 653, 
780, 1963, 1099, 
781, 485, 1526, 
782, 2097, 2031, 
783, 793, 442, 
784, 159, 81, 
785, 90, 887, 
786, 914, 1786, 
787, 1066, 1967, 
788, 2000, 329, 
789, 323, 1880, 
790, 241, 1885, 
791, 370, 1587, 
792, 474, 699, 
793, 1716, 558, 
794, 2007, 2059, 
795, 150, 437, 
796, 1126, 1137, 
797, 1290, 1291, 
798, 594, 1658, 
799, 634, 762, 
800, 1392, 921, 
801, 1974, 1952, 
802, 12, 1511, 
803, 59, 2061, 
804, 1083, 5, 
805, 42, 519, 
806, 1730, 2135, 
807, 1594, 900, 
808, 913, 1988, 
809, 281, 1288, 
810, 116, 893, 
811, 421, 1535, 
812, 256, 1453, 
813, 746, 1089, 
814, 2087, 317, 
815, 564, 124, 
816, 476, 803, 
817, 1301, 1016, 
818, 1539, 993, 
819, 482, 481, 
820, 1798, 1019, 
821, 524, 1715, 
822, 2055, 885, 
823, 1677, 1632, 
824, 1695, 173, 
825, 373, 1418, 
826, 666, 646, 
827, 143, 712, 
828, 292, 2050, 
829, 1474, 1434, 
830, 2080, 1051, 
831, 1456, 1071, 
832, 577, 1240, 
833, 1581, 1038, 
834, 1044, 574, 
835, 1743, 995, 
836, 548, 1650, 
837, 1241, 297, 
838, 1463, 2071, 
839, 2015, 119, 
840, 1088, 90, 
841, 784, 484, 
842, 1952, 837, 
843, 630, 1103, 
844, 2053, 527, 
845, 1217, 2116, 
846, 1686, 2132, 
847, 1261, 839, 
848, 1379, 2020, 
849, 64, 35, 
850, 1597, 286, 
851, 546, 1403, 
852, 1991, 1132, 
853, 541, 1348, 
854, 216, 2033, 
855, 1568, 1401, 
856, 1740, 1612, 
857, 1016, 1986, 
858, 1146, 768, 
859, 1821, 52, 
860, 1489, 1339, 
861, 706, 1309, 
